window_id,entity_id,hour,login_success_count,login_failure_count,failure_ratio,bytes_transferred,dns_entropy,peer_deviation
1,user_1,6,36,8,0.38412465448427097,8574,2.5095904276451018,1.3916256135817637
2,user_2,19,37,5,0.42669479188685105,7374,1.662230617772454,1.7167176096274397
3,user_3,14,25,5,0.32721838638174616,7892,,0.6519178104037695
4,user_4,10,24,7,0.5002024743972084,2678,2.117190157096503,0.4404820951310966
5,user_5,7,12,5,0.35158159377105,4242,3.240760682099471,1.4222990648760356
6,user_6,20,46,5,0.4940782247936416,5636,3.280676474811105,1.6190020922794308
7,user_7,6,16,7,0.45902083200649163,2059,1.8702173248834997,0.6973319745834587
8,user_8,18,30,7,0.2427033640346298,7668,3.994351212622355,0.19235310218284152
9,user_9,22,18,4,0.05152146290482211,4157,2.1669525356882122,
10,user_10,10,48,8,0.20024185618706383,6915,3.941537389581632,0.7951440421750446
11,user_11,10,27,8,0.36117427643834793,3693,2.527592533295578,1.0355027010549602
12,user_12,23,13,5,0.35959807257344817,4627,1.582626832251371,1.675420211814656
13,user_13,20,34,8,0.31930080536217265,150000,2.3626781200667075,1.3513802340785614
14,user_14,3,23,5,0.14834976821463466,2663,3.0858783617534096,1.4704322384815443
15,user_15,7,18,4,0.30307144995775864,6592,3.201763628886917,0.41814324147542736
16,user_16,23,35,7,2.7,8392,2.827336458292841,1.0828959476551316
17,user_17,2,11,7,0.5247245315101161,2306,2.619457911432729,1.3915687986901644
18,user_18,21,29,7,0.45841346510368525,7776,2.88223272267832,0.4571000435945993
19,user_19,20,37,1,0.38973394142903156,6864,2.981741809698484,0.34990985419187237
20,user_20,1,16,4,0.1274318566644361,8526,1.7021333158317882,1.9643366866588712
21,user_21,23,17,8,0.13827689429111495,9901,2.424136140153511,1.0332717825420286
22,user_22,11,44,8,0.021834138350752926,6575,2.1053998456935648,0.521658349660818
23,user_23,5,23,4,0.38375796043032523,6530,3.5078493909497395,1.9925073995158487
24,user_24,1,26,4,0.059881043238388915,5413,2.675751586115096,1.9308387025775873
25,user_25,20,45,4,0.23724171100751587,4748,3.9585578522371074,1.1165869072141952
26,user_26,0,49,4,0.10892836926111395,1663,2.4970611061113828,1.7652726863786794
27,user_27,11,13,7,0.4837123416637005,2998,3.54107968304846,0.37741421668275876
28,user_28,21,11,6,0.25669992051834034,8994,3.495862812461378,0.5577427051843638
29,user_29,11,15,6,0.3041688088672472,2495,1.8767938599135736,1.4007156599455426
30,user_30,16,13,4,0.37557868667010885,4304,2.7704969418517966,1.6933222844766118
6,user_6,20,46,5,0.4940782247936416,5636,3.280676474811105,1.6190020922794308
